,_record_id,_title,_updated_by,228_store_name,232_type_of_store,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,271_card_fee,272_card_days_receive_money,273_platform_extra_charge,274_platform_fee,275_platform_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency,163_number_high_perishable_products
0,dff2998e-af74-4de6-8efd-488aca24e67b,"November 12, 2022",Salomon Abdala Perez,Eugene’s Compostura,Tailor,2.0,0.0,4.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,c596412f-4fc2-4983-acba-d9565859e42f,"November 12, 2022",Salomon Abdala Perez,Frutas y verduras Angy,Grocery store (aka. nanostore),0.0,4.0,8.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
2,5bb632b3-41b5-4fb6-a817-b564e8b45a48,"November 12, 2022",Salomon Abdala Perez,Libélula ,Grocery store (aka. nanostore),0.0,0.0,24.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
3,6774a0f6-bab4-4a58-bf94-95ad0b7cb438,"November 12, 2022",Salomon Abdala Perez,Quality fix,Grocery store (aka. nanostore),0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6cc637fa-3d54-48c7-9499-6de13d0a26aa,"November 12, 2022",Salomon Abdala Perez,Artesanías Los Pinos,Grocery store (aka. nanostore),0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2ab862d8-1449-42fe-9de0-63f0fa86e41c,"November 12, 2022",Salomon Abdala Perez,La fête,Cafeteria,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
6,eac16b89-1988-491f-a827-60481298aa35,"November 12, 2022",Salomon Abdala Perez,Yo reparo,Technology Store,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,719cdad7-cf49-4c64-9f1d-004279b71da0,"November 12, 2022",Salomon Abdala Perez,Miscenlánea Manolos,Grocery store (aka. nanostore),0.0,2.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
8,b7494ae1-8154-4538-afd2-f9362d561ed1,"November 12, 2022",Salomon Abdala Perez,Mundo Ciclista,Retailer store,0.0,0.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,684fc35a-25b7-47b4-be58-bbc8c5bab3fb,"November 12, 2022",Salomon Abdala Perez,Copias & Max,Grocery store (aka. nanostore),0.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
10,74688e80-21b7-4356-9362-6fb2ba1e4f30,"November 12, 2022",Ángel Francisco Altamirano Campos,Desechables y materias primas Alondra,Grocery store (aka. nanostore),3.0,0.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0
11,e8009ddb-9e2e-44aa-8721-21fbc2fb157e,"November 12, 2022",Ángel Francisco Altamirano Campos,Internet ,internet ,1.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
12,a608b152-7ed5-4e56-a5ab-589867ab0b65,"November 12, 2022",Ángel Francisco Altamirano Campos,Ferretería Fénix ,Ferretería ,2.0,0.0,3.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
13,f740f232-fc37-4ea5-a5f2-87c1f2ae1951,"November 12, 2022",Ángel Francisco Altamirano Campos,Polleria,Butcher shop,3.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
14,5e8464b9-0b58-4520-a4fc-9c17a8b30500,"November 12, 2022",Ángel Francisco Altamirano Campos,Tortas planchadas,Micro-restaurant (aka. fondita),0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
15,609385f7-57c8-4210-b927-8b2a9c76ea2c,"November 9, 2022",Ángel Francisco Altamirano Campos,Dulceria ,Dulceria ,1.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0
16,461b41ec-1b3b-4d20-9414-8fb66a6e051b,"November 9, 2022",Ángel Francisco Altamirano Campos,Acuario y mascotas ,Pet store,0.0,0.0,4.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0
17,6bb75354-101c-48b1-9c82-76e40f90159c,"November 9, 2022",Ángel Francisco Altamirano Campos,Tortas cue,Micro-restaurant (aka. fondita),2.0,2.0,3.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0,15.0
18,77339a78-1542-4445-9403-4344786da162,"November 9, 2022",Ángel Francisco Altamirano Campos,Tacos Robert,Micro-restaurant (aka. fondita),1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
19,ac115611-d079-46dc-bdb6-5095a71fde01,"November 9, 2022",Ángel Francisco Altamirano Campos,Productos Aldhemi,Cosmetiquera ,0.0,0.0,6.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
20,9fc2adeb-ac67-46ef-b4db-8f4afb139ecc,"November 11, 2022",Sandra Carreón,Mony ,Dairy products,2.0,6.0,4.7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
